
Date,Amount,Category,Sub Category,Payment Method,Description,Ref/Check No,Payee / Payer,Status,Receipt Picture,Account,Tag,Tax,Mileage
2017/06/24,740.60,Income,Initial Balance, ,Initial Balance, , ,Cleared, ,Wallet, , ,
2017/06/25,-0.30,Other,Other,Cash,extra coins, , ,Uncleared, ,Wallet, , , 
2017/06/25,-3.20,Food,Hawker Centre/Coffee Shop,Cash,Mixed Veg, , ,Uncleared, ,Wallet, , , 
2017/06/25,-15.00,Church,Offering,Cash,Offering, , ,Uncleared, ,Wallet, , , 
2017/06/25,-4.30,Food,Hawker Centre/Coffee Shop,Cash,Chicken Cutlet Curry Rice, , ,Uncleared, ,Wallet, , , 
2017/06/28,-3.00,Food,Other,Cash,Snow yam bread x 2, ,Breadtalk,Uncleared, ,Wallet, , , 
2017/06/29,-10.00,Claimable,People,Cash,Borrow money to buy vegetables, ,Harni,Uncleared, ,Wallet, , , 
2017/06/29,0.05,Income,Return Money,Cash,Partial return, ,Harni,Uncleared, ,Wallet, , , 
2017/06/29,-7.80,Food,Shop,Cash,Burrito, ,Stuff'd,Uncleared, ,Wallet, , , 
2017/06/29,-8.20,Food,Drink,Cash,Cheese Guan Yin Milk Tea x 2, ,LiHo,Uncleared, ,Wallet, , , 
2017/06/30,-2.90,Food,Snack,Cash,Banana Oreo McFlurry, ,McDonalds,Uncleared, ,Wallet, , , 
2017/07/01,-20.00,Church,Offering,Cash, , ,Church,Uncleared, ,Wallet, , , 
2017/07/01,-4.65,Food,Shop,Cash,Osaka Yaki Rice Burger, ,Mos Burger,Uncleared, ,Wallet, , , 
2017/07/01,-6.90,Food,Drink,Cash,Cheese Yam Smoothie, ,LiHo,Uncleared, ,Wallet, , , 
2017/07/03,-4.00,Transport,Taxi/Private Car,Cash,Share cab with Shane MJ and Pris, ,Mei Jun,Uncleared, ,Wallet, , , 
2017/07/07,-5.30,Food,Snack,Cash,Seaweed Laver Snack, ,Koryo Mart,Uncleared, ,Wallet, , , 
2017/07/07,-7.80,Food,Shop,Cash,Crepe value meal, ,Shihlin Taiwan Street Snacks,Uncleared, ,Wallet, , , 
2017/07/07,-3.80,Gift,Food/Drink,Cash,Classic Milk Green Tea (L), ,LiHo,Uncleared, ,Wallet, , , 
2017/07/07,-3.00,Food,Restaurant/Cafe,Cash,Potato Salad, ,Imaginarium Cafe,Uncleared, ,Wallet, , , 
2017/07/07,-8.15,Food,Restaurant/Cafe,Cash,Mos Cheese Burger with Hokkaido Croquette set, ,Mos Burger,Uncleared, ,Wallet, , , 
2017/07/09,-20.00,Church,Offering,Cash, , ,HOGC,Uncleared, ,Wallet, , , 
2017/07/09,-3.50,Food,Restaurant/Cafe,Cash,Seaweed roll, ,Imaginarium Cafe,Uncleared, ,Wallet, , , 
2017/07/09,-10.00,Church,Offering,Cash, Leader's session, ,HOGC,Uncleared, ,Wallet, , , 
2017/07/09,-9.60,Food,Restaurant/Cafe,Cash,3pc Meal with side and drink, ,Jollibee,Uncleared, ,Wallet, , , 
2017/07/13,-12.00,Food,Hawker Centre/Coffee Shop,Cash,Satay, ,Chomp Chomp,Uncleared, ,Wallet, , , 
2017/07/13,-1.20,Food,Hawker Centre/Coffee Shop,Cash,Ketupat, ,Chomp Chomp,Uncleared, ,Wallet, , , 
2017/07/13,-8.00,Food,Hawker Centre/Coffee Shop,Cash,Drinks, ,Chomp Chomp,Uncleared, ,Wallet, , , 
2017/07/13,-12.00,Food,Hawker Centre/Coffee Shop,Cash,More Satay, ,Chomp Chomp,Uncleared, ,Wallet, , , 
