平成27年,人口動態調査,,
保管統計表　都道府県編　死亡�z死因　第１表－０１（北海道）　死亡数，性・死因(死因基本分類)・都道府県（21大都市再掲）別
,男,女
０１　北海道　
総　　数,31391,29276
第１章　,571,602
(A00-A09),34,55
A00　　　,-,-
A00.0　　,-,-
A00.1　　,-,-
A00.9　　,-,-
A01　　　,-,-
A01.0　　,-,-
A01.1　　,-,-
A01.2　　,-,-
A01.3　　,-,-
A01.4　　,-,-
A02　　　,-,-
A02.0　　,-,-
A02.1　　,-,-
A02.2　　,-,-
A02.2A　 ,-,-
A02.2B　 ,-,-
A02.8　　,-,-
A02.9　　,-,-
A03　　　,-,-
A03.0　　,-,-
A03.1　　,-,-
A03.2　　,-,-
A03.3　　,-,-
A03.8　　,-,-
A03.9　　,-,-
A04　　　,8,7
A04.0　　,-,-
A04.1　　,-,-
A04.2　　,-,-
A04.3　　,-,-
A04.4　　,-,-
A04.5　　,-,-
A04.6　　,-,-
A04.7　　,6,7
A04.8　　,-,-
A04.8A　 ,-,-
A04.8B　 ,-,-
A04.8C　 ,-,-
A04.9　　,2,-
A05　　　,-,-
A05.0　　,-,-
A05.1　　,-,-
A05.2　　,-,-
A05.3　　,-,-
A05.4　　,-,-
A05.8　　,-,-
A05.9　　,-,-
A06　　　,-,-
A06.0　　,-,-
A06.1　　,-,-
A06.2　　,-,-
A06.3　　,-,-
A06.4　　,-,-
A06.5　　,-,-
A06.6　　,-,-
A06.7　　,-,-
A06.8　　,-,-
A06.9　　,-,-
A07　　　,-,-
A07.0　　,-,-
A07.1　　,-,-
A07.2　　,-,-
A07.3　　,-,-
A07.8　　,-,-
A07.9　　,-,-
A08　　　,2,2
A08.0　　,-,-
A08.1　　,2,2
A08.2　　,-,-
A08.3　　,-,-
A08.4　　,-,-
A08.5　　,-,-
A08.5a　 ,-,-
A08.5b　 ,-,-
A09　　　,24,46
(A15-A19),33,14
A15　　　,-,-
A15.0　　,-,-
A15.1　　,-,-
A15.2　　,-,-
A15.3　　,-,-
A15.4　　,-,-
A15.5　　,-,-
A15.6　　,-,-
A15.7　　,-,-
A15.8　　,-,-
A15.9　　,-,-
A16　　　,31,10
A16.0　　,-,-
A16.1　　,-,-
A16.2　　,25,9
A16.3　　,-,-
A16.4　　,-,-
A16.5　　,4,1
A16.7　　,-,-
A16.8　　,-,-
A16.9　　,2,-
A17　　　,1,-
A17.0　　,1,-
A17.1　　,-,-
A17.8　　,-,-
A17.9　　,-,-
A18　　　,1,2
A18.0　　,1,1
A18.1　　,-,1
A18.2　　,-,-
A18.3　　,-,-
A18.4　　,-,-
A18.5　　,-,-
A18.6　　,-,-
A18.7　　,-,-
A18.8　　,-,-
A19　　　,-,2
A19.0　　,-,-
A19.1　　,-,-
A19.2　　,-,-
A19.8　　,-,-
A19.9　　,-,2
(A20-A28),-,-
A20　　　,-,-
A20.0　　,-,-
A20.1　　,-,-
A20.2　　,-,-
A20.3　　,-,-
A20.7　　,-,-
A20.8　　,-,-
A20.9　　,-,-
A21　　　,-,-
A21.0　　,-,-
A21.1　　,-,-
A21.2　　,-,-
A21.3　　,-,-
A21.7　　,-,-
A21.8　　,-,-
A21.9　　,-,-
A22　　　,-,-
A22.0　　,-,-
A22.1　　,-,-
A22.2　　,-,-
A22.7　　,-,-
A22.8　　,-,-
A22.9　　,-,-
A23　　　,-,-
A23.0　　,-,-
A23.1　　,-,-
A23.2　　,-,-
A23.3　　,-,-
A23.8　　,-,-
A23.9　　,-,-
A24　　　,-,-
A24.0　　,-,-
A24.1　　,-,-
A24.2　　,-,-
A24.3　　,-,-
A24.4　　,-,-
A25　　　,-,-
A25.0　　,-,-
A25.1　　,-,-
A25.9　　,-,-
A26　　　,-,-
A26.0　　,-,-
A26.7　　,-,-
A26.8　　,-,-
A26.9　　,-,-
A27　　　,-,-
A27.0　　,-,-
A27.0A　 ,-,-
A27.0B　 ,-,-
A27.8　　,-,-
A27.8A　 ,-,-
A27.8B　 ,-,-
A27.9　　,-,-
A28　　　,-,-
A28.0　　,-,-
A28.1　　,-,-
A28.2　　,-,-
A28.8　　,-,-
A28.9　　,-,-
(A30-A49),337,371
A30　　　,-,-
A30.0　　,-,-
A30.1　　,-,-
A30.2　　,-,-
A30.3　　,-,-
A30.4　　,-,-
A30.5　　,-,-
A30.8　　,-,-
A30.9　　,-,-
A31　　　,19,25
A31.0　　,13,16
A31.1　　,-,-
A31.8　　,-,-
A31.9　　,6,9
A32　　　,-,-
A32.0　　,-,-
A32.1　　,-,-
A32.7　　,-,-
A32.8　　,-,-
A32.9　　,-,-
A33　　　,-,-
A34　　　,-,-
A35　　　,-,-
A36　　　,-,-
A36.0　　,-,-
A36.1　　,-,-
A36.2　　,-,-
A36.3　　,-,-
A36.8　　,-,-
A36.9　　,-,-
A37　　　,-,-
A37.0　　,-,-
A37.1　　,-,-
A37.8　　,-,-
A37.9　　,-,-
A38　　　,-,-
A39　　　,-,-
A39.0　　,-,-
A39.1　　,-,-
A39.2　　,-,-
A39.3　　,-,-
A39.4　　,-,-
A39.5　　,-,-
A39.8　　,-,-
A39.9　　,-,-
A40　　　,-,1
A40.0　　,-,-
A40.0A　 ,-,-
A40.0B　 ,-,-
A40.1　　,-,-
A40.2　　,-,-
A40.3　　,-,-
A40.3A　 ,-,-
A40.3B　 ,-,-
A40.8　　,-,1
A40.8A　 ,-,1
A40.8B　 ,-,-
A40.8C　 ,-,-
A40.9　　,-,-
A41　　,307,323
A41.0　　,7,3
A41.0A　　,4,3
A41.0B　 ,-,-
A41.0C　 ,-,-
A41.0D　 ,3,-
A41.1　　,-,-
A41.1A　,-,-
A41.1B　　,-,-
A41.2　　,-,-
A41.3　　,-,-
A41.4　　,-,-
A41.4A　 ,-,-
A41.4B　 ,-,-
A41.5　 ,3,1
A41.5A　　,-,-
A41.5B　 ,3,1
A41.5C　 ,-,-
A41.5D　 ,-,-
A41.8　　,-,-
A41.8A　,-,-
A41.8B　 ,-,-
A41.9　　,297,319
A42　　,-,-
A42.0　　,-,-
A42.1　　,-,-
A42.2　　,-,-
A42.7　　,-,-
A42.8　　,-,-
A42.9　　,-,-
A43　　　,-,-
A43.0　　,-,-
A43.1　　,-,-
A43.8　　,-,-
A43.9　　,-,-
A44　　　,-,-
A44.0　　,-,-
A44.1　　,-,-
A44.8　　,-,-
A44.9　　,-,-
A46　　　,-,-
A48　　　,4,5
A48.0　　,2,2
A48.1　　,1,1
A48.2　　,-,-
A48.3　　,1,2
A48.4　　,-,-
A48.8　　,-,-
A49　　　,7,17
A49.0　　,2,3
A49.0A　 ,1,3
A49.0B　 ,-,-
A49.0C　 ,-,-
A49.0D　　,1,-
A49.1　　,-,1
A49.1A　 ,-,1
A49.1B　 ,-,-
A49.1C　 ,-,-
A49.1D　　,-,-
A49.2　　,-,-
A49.3　　,-,-
A49.8　　,-,-
A49.8A　 ,-,-
A49.8B　 ,-,-
A49.8C　 ,-,-
A49.8D　　,-,-
A49.8E　 ,-,-
A49.8F　 ,-,-
A49.9　　,5,13
(A50-A64),1,1
A50　　　,1,-
A50.0　　,-,-
A50.1　　,-,-
A50.2　　,1,-
A50.3　　,-,-
A50.4　　,-,-
A50.5　　,-,-
A50.6　　,-,-
A50.7　　,-,-
A50.9　　,-,-
A51　　　,-,-
A51.0　　,-,-
A51.1　　,-,-
A51.2　　,-,-
A51.3　　,-,-
A51.4　　,-,-
A51.5　　,-,-
A51.9　　,-,-
A52　　　,-,1
A52.0　　,-,1
A52.1　　,-,-
A52.2　　,-,-
A52.3　　,-,-
A52.7　　,-,-
A52.8　　,-,-
A52.9　　,-,-
A53　　　,-,-
A53.0　　,-,-
A53.9　　,-,-
A54　　　,-,-
A54.0　　,-,-
A54.1　　,-,-
A54.2　　,-,-
A54.3　　,-,-
A54.4　　,-,-
A54.5　　,-,-
A54.6　　,-,-
A54.8　　,-,-
A54.9　　,-,-
A55　　　,-,-
A56　　　,-,-
A56.0　　,-,-
A56.1　　,-,-
A56.2　　,-,-
A56.3　　,-,-
A56.4　　,-,-
A56.8　　,-,-
A57　　　,-,-
A58　　　,-,-
A59　　　,-,-
A59.0　　,-,-
A59.8　　,-,-
A59.9　　,-,-
A60　　　,-,-
A60.0　　,-,-
A60.1　　,-,-
A60.9　　,-,-
A63　　　,-,-
A63.0　　,-,-
A63.8　　,-,-
A64　　　,-,-
(A65-A69),-,-
A65　　　,-,-
A66　　　,-,-
A66.0　　,-,-
A66.1　　,-,-
A66.2　　,-,-
A66.3　　,-,-
A66.4　　,-,-
A66.5　　,-,-
A66.6　　,-,-
A66.7　　,-,-
